number,title,spacy_model,all_MiniLM_L12,paraphrase_distilroberta,msmarco_distilroberta,quora_distilbert,zero_shot
83790,,,0.31422746181488037,0.41499096155166626,0.3253627419471741,0.3970645070075989,
82930,,,0.21288879215717316,0.3898685574531555,0.3247990608215332,0.46220993995666504,
82147,,,0.2452625036239624,0.36194711923599243,0.4403494894504547,0.31390851736068726,
82438,,,0.2584773898124695,0.3831905424594879,0.31962350010871887,0.3641781806945801,
83837,,,0.251043438911438,0.2659605145454407,0.24041850864887238,0.45340773463249207,
82939,,,0.2812437415122986,0.22808851301670074,0.26123881340026855,0.3823995590209961,
82713,,,0.2899104952812195,0.22313418984413147,0.26790139079093933,0.35777655243873596,
82445,,,0.1901351511478424,0.2526267170906067,0.2711583971977234,0.4185800552368164,
83731,,,0.25869905948638916,0.25525593757629395,0.23816514015197754,0.3650636672973633,
83612,,,0.21935638785362244,0.19104421138763428,0.3465723693370819,0.3399345278739929,
82350,,,0.21428412199020386,0.3284377455711365,0.2929932475090027,0.2316083163022995,
83428,,,0.18446752429008484,0.2528304159641266,0.27179476618766785,0.3537088930606842,
83244,,,0.13034266233444214,0.28454288840293884,0.2594686448574066,0.387867271900177,
82432,,,0.1212514191865921,0.2155170738697052,0.37533414363861084,0.32866644859313965,
82731,,,0.24634064733982086,0.20322728157043457,0.2381628155708313,0.3144146800041199,
82103,,,0.044045496731996536,0.3048470914363861,0.211374431848526,0.3769189119338989,
82221,,,0.24439950287342072,0.26466721296310425,0.24191176891326904,0.207986980676651,
83683,,,0.13244092464447021,0.3191528618335724,0.23869988322257996,0.29953813552856445,
82240,,,0.05726636201143265,0.17015594244003296,0.29153314232826233,0.44373956322669983,
83177,,,0.06832636892795563,0.1791386753320694,0.26611536741256714,0.44563260674476624,
83702,,,0.060417741537094116,0.2627825140953064,0.24236902594566345,0.3736482858657837,
82164,,,0.10267145931720734,0.23145484924316406,0.2566435635089874,0.3510330319404602,
81959,,,0.18449032306671143,0.2317269742488861,0.2261582314968109,0.29946455359458923,
83725,,,0.19051828980445862,0.20273059606552124,0.2526249289512634,0.2899159789085388,
83936,,,0.13515843451023102,0.18776701390743256,0.321283757686615,0.28890591859817505,
82877,,,0.09228935837745667,0.22350002825260162,0.27987033128738403,0.33541247248649597,
83596,,,0.0021521076560020447,0.28139111399650574,0.4026705026626587,0.25021690130233765,
83203,,,0.0736449807882309,0.15402866899967194,0.26832276582717896,0.431544691324234,
83722,,,0.05382496118545532,0.358724981546402,0.24655281007289886,0.23765745759010315,
82039,,,0.04576371610164642,0.19662603735923767,0.2777597904205322,0.38070136308670044,
81862,,,0.1365465372800827,0.2235887199640274,0.23902535438537598,0.3004224896430969,
83325,,,-0.04324580729007721,0.24713213741779327,0.23644208908081055,0.44158321619033813,
83484,,,0.056809548288583755,0.20707455277442932,0.18088872730731964,0.48347312211990356,
83680,,,0.09583267569541931,0.28011414408683777,0.18345409631729126,0.3209776282310486,
82537,,,0.14705786108970642,0.17150476574897766,0.2619192600250244,0.27901017665863037,
83105,,,0.19089797139167786,0.21931040287017822,0.28958770632743835,0.1567096710205078,
82402,,,0.046042051166296005,0.2806932330131531,0.30667221546173096,0.2285722941160202,
83052,,,0.09410259872674942,0.29177093505859375,0.18324077129364014,0.3102826774120331,
83405,,,0.012007083743810654,0.20218375325202942,0.33626705408096313,0.29038146138191223,
83213,,,0.09311491996049881,0.17085544764995575,0.22202566266059875,0.3769769072532654,
83055,,,0.1601206362247467,0.2087777853012085,0.14923274517059326,0.28984567523002625,
83553,,,0.16817373037338257,0.12778261303901672,0.25450313091278076,0.265857994556427,
82238,,,0.06922050565481186,0.2709445059299469,0.20379815995693207,0.28314974904060364,
82356,,,0.08757723122835159,0.2637817859649658,0.17714902758598328,0.2904717028141022,
82244,,,0.059907615184783936,0.14171458780765533,0.2808343768119812,0.3242506682872772,
83750,,,0.09668224304914474,0.1435500532388687,0.2740499973297119,0.28679782152175903,
83141,,,0.051847778260707855,0.26400017738342285,0.20456409454345703,0.23558920621871948,
82320,,,0.1038704663515091,0.18846756219863892,0.23656973242759705,0.25961098074913025,
82902,,,0.03571004420518875,0.22279316186904907,0.23893816769123077,0.2782864570617676,
81954,,,0.030661441385746002,0.29647478461265564,0.1895279884338379,0.2790863513946533,
81983,,,0.03625619783997536,0.16409224271774292,0.2465629130601883,0.322214275598526,
81929,,,0.11351840198040009,0.15032009780406952,0.27048981189727783,0.23718854784965515,
82259,,,0.02428385615348816,0.23742231726646423,0.28030192852020264,0.21515130996704102,
81463,,,-0.09005966037511826,0.13619503378868103,0.22054161131381989,0.4515698254108429,
82561,,,-0.0030596740543842316,0.20693600177764893,0.09861864149570465,0.3847271502017975,
83142,,,0.0721292644739151,0.24758285284042358,0.1722419559955597,0.14697399735450745,
82400,,,0.038830600678920746,0.2114262580871582,0.2457725703716278,0.15605907142162323,
81809,,,0.0777057409286499,0.25595903396606445,0.11973479390144348,0.1603897660970688,
83525,,,0.024962883442640305,0.2441965639591217,0.17624114453792572,0.16617101430892944,
82055,,,0.06297684460878372,0.23153644800186157,0.10795271396636963,0.1718686819076538,
83484,Auth: Fix email verification bypass when using basic authentication,,,,,0.4832848608493805,
82930,[v10.3.x] docs: angular plugins list rewrite,,,,,0.46220993995666504,
81463,[v10.3.x] Loki/Elastic: Assert queryfix value to always be string,,,,,0.45919790863990784,
83837,[v10.3.x] alerting:clarify silence preview,,,,,0.45340773463249207,
83177,[v10.3.x] OAuth: Improve domain validation,,,,,0.44563260674476624,
82240,[v10.3.x] Docs: Update default value of rbac.permission_validation_enabled,,,,,0.44373956322669983,
83325,[v10.3.x] remove oss from security config docs,,,,,0.44158321619033813,
83203,[v10.3.x] AuthProxy: Invalidate previous cached item for user when changes are made to any header,,,,,0.431544691324234,
82445,[v10.3.x] Docs: Add copy dashboard instructions,,,,,0.4185800552368164,
83790,[v10.3.x] Fix: Cache busting of plugins module.js file,,,,,0.3970645070075989,
83244,[v10.3.x] Docs: update import troubleshoot dashboards links,,,,,0.387867271900177,
82561,[v10.3.x] Area Build/Packaging: release process - remove image check for armhf rpm no longer being built,,,,,0.3847271502017975,
82103,[v10.3.x] Add missing step,,,,,0.38381993770599365,
82939,[v10.3.x] Add video to variables _index.md,,,,,0.3823995590209961,
83702,[v10.3.x] Docs: fix config file info in upgrade guide,,,,,0.3809329867362976,
82039,[v10.3.x] Alerting: Update legacy migration docs to include Upgrade Preview,,,,,0.38070136308670044,
83731,[v10.3.x] Chore: Bumping go to 1.21.6,,,,,0.3650636672973633,
82438,[v10.3.x] Add PagerDuty to the plugins list,,,,,0.3641781806945801,
82713,[v10.3.x] Adding Grafana for Beginners video to doc,,,,,0.35777655243873596,
83428,[v10.3.x] Docs/grafana helm,,,,,0.3537088930606842,
82164,[v10.3.x] Doc: Custom branding is not applicable to OSS,,,,,0.3510330319404602,
83213,Tempo: Add template variable interpolation for filters,,,,,0.3434261679649353,
82877,[v10.3.x] TeamSync: Fix auth proxy docs on teamsync,,,,,0.3415917456150055,
83612,[v10.3.x] docs: link annotation queries video to documentation,,,,,0.3399345278739929,
82244,[v10.3.x] Update RBAC role name: fixed:datasources.id:reader,,,,,0.3242506682872772,
82432,[v10.3.x] Chore: Update grabpl to v3.0.50,,,,,0.32339680194854736,
81983,[v10.3.x] ShareModal: Remove shareView param when creating a sharing URL,,,,,0.322214275598526,
82731,"[v10.3.x] Adding ""Exploring logs, metrics, and traces with Grafana"" video to docs",,,,,0.3144146800041199,
82147,[v10.3.x] Plugins: Don't auto prepend app sub url to plugin asset paths,,,,,0.31390851736068726,
83683,[v10.3.x] Fix typos,,,,,0.31250324845314026,
83680,[v10.3.x] Update `make docs` procedure,,,,,0.31249672174453735,
81862,[v10.3.x] Folders: Fix failure to update folder in SQLite,,,,,0.3004224896430969,
81959,[v10.3.x] Remove X-Grafana-Device-Id from outbound requests,,,,,0.29946455359458923,
82238,[v10.3.x] Update `make docs` procedure,,,,,0.29266053438186646,
83405,[v10.3.x] Annotations: Improve query performance when using dashboard filter,,,,,0.29038146138191223,
83725,[v10.3.x] Chore: Improve domain validation for Google OAuth - Backport 83229 to v10.3.x,,,,,0.2899159789085388,
81954,[v10.3.x] Docs: remove disable scaling units entry,,,,,0.2898467779159546,
83055,[v10.3.x] Remove duplicate paragraph and wrap in note,,,,,0.28984567523002625,
